DATE,USEPUINDXD
1985/1/1,174.545
1985/2/1,165.723
1985/3/1,132.255
1985/4/1,110.642
1985/5/1,125.663
1985/6/1,147.675
1985/7/1,125.211
1985/8/1,134.612
1985/9/1,97.925
1985/10/1,91.532
1985/11/1,121.125
1985/12/1,128.087
1986/1/1,154.188
1986/2/1,156.118
1986/3/1,106.305
1986/4/1,114.612
1986/5/1,129.122
1986/6/1,153.033
1986/7/1,149.120
1986/8/1,142.632
1986/9/1,171.515
1986/10/1,121.409
1986/11/1,92.622
1986/12/1,90.296
1987/1/1,93.665
1987/2/1,70.558
1987/3/1,69.180
1987/4/1,77.080
1987/5/1,59.874
1987/6/1,87.205
1987/7/1,68.670
1987/8/1,56.677
1987/9/1,63.754
1987/10/1,122.516
1987/11/1,137.262
1987/12/1,115.298
1988/1/1,109.532
1988/2/1,79.708
1988/3/1,74.651
1988/4/1,76.271
1988/5/1,86.116
1988/6/1,76.774
1988/7/1,79.228
1988/8/1,84.922
1988/9/1,56.779
1988/10/1,90.762
1988/11/1,101.318
1988/12/1,77.439
1989/1/1,87.738
1989/2/1,65.212
1989/3/1,62.263
1989/4/1,73.025
1989/5/1,77.934
1989/6/1,86.279
1989/7/1,99.288
1989/8/1,66.158
1989/9/1,50.693
1989/10/1,81.415
1989/11/1,82.959
1989/12/1,87.584
1990/1/1,106.657
1990/2/1,105.747
1990/3/1,75.653
1990/4/1,79.109
1990/5/1,78.456
1990/6/1,84.323
1990/7/1,88.515
1990/8/1,142.371
1990/9/1,135.281
1990/10/1,136.892
1990/11/1,151.214
1990/12/1,128.840
1991/1/1,136.988
1991/2/1,127.831
1991/3/1,98.579
1991/4/1,93.158
1991/5/1,74.895
1991/6/1,85.933
1991/7/1,110.870
1991/8/1,106.939
1991/9/1,121.001
1991/10/1,114.075
1991/11/1,172.653
1991/12/1,190.537
1992/1/1,165.448
1992/2/1,169.712
1992/3/1,125.659
1992/4/1,98.949
1992/5/1,96.914
1992/6/1,123.270
1992/7/1,138.966
1992/8/1,153.658
1992/9/1,162.564
1992/10/1,192.954
1992/11/1,153.509
1992/12/1,103.449
1993/1/1,114.877
1993/2/1,115.299
1993/3/1,138.471
1993/4/1,116.834
1993/5/1,156.057
1993/6/1,131.545
1993/7/1,122.785
1993/8/1,148.238
1993/9/1,129.699
1993/10/1,81.798
1993/11/1,100.993
1993/12/1,87.747
1994/1/1,93.802
1994/2/1,79.954
1994/3/1,85.947
1994/4/1,114.518
1994/5/1,111.182
1994/6/1,78.491
1994/7/1,91.787
1994/8/1,89.135
1994/9/1,98.467
1994/10/1,81.096
1994/11/1,118.829
1994/12/1,89.837
1995/1/1,136.106
1995/2/1,134.416
1995/3/1,97.521
1995/4/1,69.450
1995/5/1,64.407
1995/6/1,93.436
1995/7/1,89.756
1995/8/1,46.756
1995/9/1,53.659
1995/10/1,80.669
1995/11/1,91.449
1995/12/1,113.518
1996/1/1,115.496
1996/2/1,90.444
1996/3/1,81.626
1996/4/1,64.898
1996/5/1,74.128
1996/6/1,73.288
1996/7/1,65.245
1996/8/1,71.990
1996/9/1,70.326
1996/10/1,70.330
1996/11/1,62.711
1996/12/1,63.941
1997/1/1,72.057
1997/2/1,64.324
1997/3/1,64.991
1997/4/1,58.056
1997/5/1,77.923
1997/6/1,77.964
1997/7/1,58.032
1997/8/1,69.149
1997/9/1,49.319
1997/10/1,74.453
1997/11/1,81.301
1997/12/1,64.063
1998/1/1,110.965
1998/2/1,85.117
1998/3/1,70.962
1998/4/1,77.972
1998/5/1,64.899
1998/6/1,64.301
1998/7/1,68.216
1998/8/1,121.535
1998/9/1,154.071
1998/10/1,113.826
1998/11/1,95.255
1998/12/1,83.715
1999/1/1,89.710
1999/2/1,65.293
1999/3/1,56.364
1999/4/1,50.686
1999/5/1,48.122
1999/6/1,51.012
1999/7/1,69.265
1999/8/1,54.715
1999/9/1,58.792
1999/10/1,56.074
1999/11/1,54.528
1999/12/1,73.085
2000/1/1,57.548
2000/2/1,50.604
2000/3/1,64.995
2000/4/1,59.758
2000/5/1,77.520
2000/6/1,67.236
2000/7/1,53.875
2000/8/1,47.640
2000/9/1,67.987
2000/10/1,67.586
2000/11/1,138.216
2000/12/1,124.631
2001/1/1,123.214
2001/2/1,122.261
2001/3/1,124.462
2001/4/1,105.174
2001/5/1,96.312
2001/6/1,70.574
2001/7/1,91.896
2001/8/1,80.837
2001/9/1,234.574
2001/10/1,236.406
2001/11/1,154.387
2001/12/1,127.572
2002/1/1,141.643
2002/2/1,86.754
2002/3/1,94.427
2002/4/1,74.522
2002/5/1,89.656
2002/6/1,87.075
2002/7/1,126.560
2002/8/1,114.960
2002/9/1,138.871
2002/10/1,113.343
2002/11/1,136.548
2002/12/1,153.671
2003/1/1,184.772
2003/2/1,192.123
2003/3/1,212.569
2003/4/1,135.479
2003/5/1,116.639
2003/6/1,89.302
2003/7/1,82.494
2003/8/1,89.774
2003/9/1,96.158
2003/10/1,65.800
2003/11/1,61.467
2003/12/1,73.569
2004/1/1,93.051
2004/2/1,83.247
2004/3/1,63.193
2004/4/1,59.875
2004/5/1,76.702
2004/6/1,79.363
2004/7/1,60.950
2004/8/1,70.379
2004/9/1,75.086
2004/10/1,102.475
2004/11/1,72.187
2004/12/1,40.126
2005/1/1,66.991
2005/2/1,63.730
2005/3/1,55.763
2005/4/1,66.458
2005/5/1,73.074
2005/6/1,59.689
2005/7/1,50.885
2005/8/1,56.088
2005/9/1,85.248
2005/10/1,62.997
2005/11/1,48.773
2005/12/1,60.027
2006/1/1,63.644
2006/2/1,59.094
2006/3/1,51.511
2006/4/1,69.783
2006/5/1,67.515
2006/6/1,67.886
2006/7/1,74.713
2006/8/1,71.148
2006/9/1,39.139
2006/10/1,42.939
2006/11/1,50.216
2006/12/1,38.209
2007/1/1,56.955
2007/2/1,58.378
2007/3/1,54.725
2007/4/1,44.371
2007/5/1,55.788
2007/6/1,50.802
2007/7/1,38.934
2007/8/1,81.752
2007/9/1,79.891
2007/10/1,72.213
2007/11/1,64.190
2007/12/1,91.996
2008/1/1,182.061
2008/2/1,118.067
2008/3/1,121.869
2008/4/1,100.466
2008/5/1,84.734
2008/6/1,98.481
2008/7/1,101.748
2008/8/1,91.436
2008/9/1,183.974
2008/10/1,243.467
2008/11/1,220.649
2008/12/1,165.279
2009/1/1,215.217
2009/2/1,238.860
2009/3/1,189.935
2009/4/1,139.217
2009/5/1,122.907
2009/6/1,107.174
2009/7/1,121.458
2009/8/1,94.858
2009/9/1,91.199
2009/10/1,81.960
2009/11/1,111.379
2009/12/1,129.590
2010/1/1,156.729
2010/2/1,151.771
2010/3/1,110.028
2010/4/1,87.816
2010/5/1,118.885
2010/6/1,127.633
2010/7/1,176.804
2010/8/1,161.470
2010/9/1,213.925
2010/10/1,229.316
2010/11/1,169.896
2010/12/1,157.470
2011/1/1,139.747
2011/2/1,118.360
2011/3/1,140.795
2011/4/1,116.032
2011/5/1,93.218
2011/6/1,126.059
2011/7/1,200.151
2011/8/1,253.919
2011/9/1,221.507
2011/10/1,133.753
2011/11/1,133.723
2011/12/1,186.004
2012/1/1,156.167
2012/2/1,112.695
2012/3/1,90.249
2012/4/1,94.954
2012/5/1,120.234
2012/6/1,169.626
2012/7/1,171.593
2012/8/1,149.646
2012/9/1,146.604
2012/10/1,161.698
2012/11/1,208.190
2012/12/1,211.771
2013/1/1,204.003
2013/2/1,145.210
2013/3/1,137.829
2013/4/1,89.168
2013/5/1,78.376
2013/6/1,81.670
2013/7/1,93.223
2013/8/1,92.877
2013/9/1,116.717
2013/10/1,176.281
2013/11/1,83.816
2013/12/1,90.939
2014/1/1,95.627
2014/2/1,83.491
2014/3/1,72.931
2014/4/1,63.760
2014/5/1,68.403
2014/6/1,68.896
2014/7/1,72.394
2014/8/1,53.538
2014/9/1,57.968
2014/10/1,66.285
2014/11/1,58.178
2014/12/1,66.242
2015/1/1,80.650
2015/2/1,68.657
2015/3/1,62.275
2015/4/1,66.030
2015/5/1,62.860
2015/6/1,67.026
2015/7/1,74.312
2015/8/1,76.011
2015/9/1,87.062
2015/10/1,65.752
2015/11/1,55.511
2015/12/1,71.081
2016/1/1,80.381
2016/2/1,78.931
2016/3/1,63.630
2016/4/1,52.436
2016/5/1,55.182
2016/6/1,133.648
2016/7/1,94.670
2016/8/1,71.413
2016/9/1,50.289
2016/10/1,69.446
2016/11/1,125.672
2016/12/1,123.927
2017/1/1,144.135
2017/2/1,119.428
2017/3/1,112.853
2017/4/1,101.356
2017/5/1,92.189
2017/6/1,95.060
2017/7/1,100.409
2017/8/1,73.288
2017/9/1,84.188
2017/10/1,70.211
2017/11/1,91.195
2017/12/1,90.573
2018/1/1,114.800
2018/2/1,84.039
2018/3/1,76.376
2018/4/1,88.596
2018/5/1,87.867
2018/6/1,103.789
2018/7/1,99.527
2018/8/1,85.715
2018/9/1,67.363
2018/10/1,90.251
2018/11/1,79.472
2018/12/1,127.533
2019/1/1,146.587
2019/2/1,82.650
2019/3/1,94.656
2019/4/1,78.739
2019/5/1,94.452
2019/6/1,137.371
2019/7/1,94.796
2019/8/1,155.233
2019/9/1,118.307
2019/10/1,98.003
2019/11/1,81.042
2019/12/1,121.307
2020/1/1,110.075
2020/2/1,113.260
2020/3/1,380.390
2020/4/1,555.325
2020/5/1,484.182
2020/6/1,313.916
2020/7/1,359.453
2020/8/1,298.587
2020/9/1,247.737
2020/10/1,271.429
2020/11/1,264.686
2020/12/1,238.674
2021/1/1,216.062
2021/2/1,154.396
2021/3/1,176.702
2021/4/1,122.481
2021/5/1,129.445
2021/6/1,113.146
2021/7/1,130.010
2021/8/1,124.144
2021/9/1,120.230
2021/10/1,109.648
2021/11/1,135.153
2021/12/1,137.127
2022/1/1,145.670
2022/2/1,128.245
2022/3/1,186.201
