"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 04","231.55","199.00","255.50","198.00","15.37K","17.24%"
"Feb 04","229.15","232.00","251.25","222.00","21.12K","-1.04%"
"Mar 04","289.95","228.25","293.50","228.25","3.19K","26.53%"
"Apr 04","258.30","291.00","344.70","232.00","28.77K","-10.92%"
"May 04","257.45","256.40","270.00","227.00","17.71K","-0.33%"
"Jun 04","214.95","256.40","256.40","213.00","2.76K","-16.51%"
"Jul 04","217.20","214.20","232.40","205.00","6.81K","1.05%"
"Aug 04","214.30","219.40","228.50","209.00","15.32K","-1.34%"
"Sep 04","225.85","215.00","215.00","205.00","0.35K","5.39%"
"Oct 04","212.20","216.00","219.00","211.00","1.76K","-6.04%"
"Nov 04","210.60","213.60","223.50","208.00","19.43K","-0.75%"
"Dec 04","185.25","206.00","213.50","178.30","1.85K","-12.04%"
"Jan 05","190.40","184.00","195.90","177.50","7.05K","2.78%"
"Feb 05","183.05","190.20","193.50","177.00","23.61K","-3.86%"
"Mar 05","194.05","182.25","215.00","182.00","0.47K","6.01%"
"Apr 05","197.90","201.00","206.00","194.05","2.71K","1.98%"
"May 05","182.45","197.90","197.90","180.60","26.40K","-7.81%"
"Jun 05","181.95","181.50","191.00","180.50","3.02K","-0.27%"
"Jul 05","194.60","181.10","205.00","170.20","15.88K","6.95%"
"Aug 05","181.95","195.00","197.00","180.10","25.19K","-6.50%"
"Sep 05","199.80","181.60","202.50","181.60","2.16K","9.81%"
"Oct 05","227.15","199.00","233.75","192.10","12.89K","13.69%"
"Nov 05","255.50","226.75","270.10","220.00","28.53K","12.48%"
"Dec 05","261.50","255.25","297.10","247.00","1.94K","2.35%"
"Jan 06","296.95","263.45","297.80","262.00","17.68K","13.56%"
"Feb 06","289.30","297.00","327.00","267.70","31.08K","-2.58%"
"Mar 06","334.65","290.00","345.00","275.50","0.77K","15.68%"
"May 06","347.25","349.00","358.00","332.00","11.32K","3.77%"
"Jun 06","309.50","330.00","363.00","271.00","0.93K","-10.87%"
"Aug 06","343.20","337.00","342.00","330.00","5.96K","10.89%"
"Sep 06","316.20","341.00","351.00","302.00","0.32K","-7.87%"
"Oct 06","320.50","294.00","294.00","294.00","0.00K","1.36%"
"Nov 06","329.35","324.00","330.15","315.00","6.16K","2.76%"
"Dec 06","326.40","325.85","330.15","320.00","0.20K","-0.90%"
"Feb 07","351.10","354.45","355.00","345.00","1.80K","7.57%"
"Mar 07","354.35","351.10","353.10","340.00","0.56K","0.93%"
"May 07","368.00","367.65","371.00","362.00","8.05K","3.85%"
"Jun 07","364.15","370.00","372.60","363.70","0.16K","-1.05%"
"Aug 07","333.50","330.00","334.30","325.15","4.04K","-8.42%"
"Sep 07","341.90","335.00","338.00","330.50","0.37K","2.52%"
"Nov 07","348.65","345.00","353.00","338.00","3.56K","1.97%"
"Dec 07","365.05","343.65","359.50","343.15","0.51K","4.70%"
"Feb 08","571.95","552.55","585.15","537.10","6.02K","56.68%"
"Mar 08","452.50","574.85","595.10","437.70","0.32K","-20.88%"
"May 08","435.00","435.00","436.20","424.00","5.77K","-3.87%"
"Jun 08","471.20","431.55","475.00","423.00","0.19K","8.32%"
"Aug 08","303.80","288.80","303.50","288.50","3.89K","-35.53%"
"Sep 08","224.55","304.85","304.95","224.75","0.40K","-26.09%"
"Oct 08","198.55","188.25","197.50","157.75","0.01K","-11.58%"
"Nov 08","192.60","195.00","199.80","183.30","4.48K","-3.00%"
"Dec 08","186.65","188.90","188.90","160.00","0.41K","-3.09%"
"Jan 09","184.50","190.00","192.00","190.00","0.00K","-1.15%"
"Feb 09","194.85","213.00","213.00","193.00","3.05K","5.61%"
"Mar 09","218.80","198.25","227.00","189.95","0.59K","12.29%"
"Apr 09","218.10","221.00","221.00","221.00","0.00K","-0.32%"
"May 09","236.05","236.00","237.20","221.00","4.41K","8.23%"
"Jun 09","247.00","237.00","264.00","230.90","0.46K","4.64%"
"Aug 09","291.80","287.35","293.45","283.70","3.50K","18.14%"
"Sep 09","298.55","294.90","306.70","282.60","0.22K","2.31%"
"Oct 09","321.60","335.80","342.00","315.20","-","7.72%"
"Nov 09","363.55","375.00","375.15","350.00","5.03K","13.04%"
"Dec 09","407.25","378.25","390.45","350.05","0.30K","12.02%"
"Jan 10","416.50","425.00","425.00","425.00","0.00K","2.27%"
"Feb 10","432.40","420.55","433.00","414.50","7.61K","3.82%"
"Mar 10","478.15","433.90","476.95","432.10","0.43K","10.58%"
"Apr 10","554.75","542.95","553.30","542.95","0.00K","16.02%"
"May 10","461.85","437.75","470.45","434.00","8.76K","-16.75%"
"Jun 10","444.40","464.00","499.10","421.75","1.50K","-3.78%"
"Jul 10","500.00","436.05","477.35","436.05","0.00K","12.51%"
"Aug 10","500.40","503.30","508.00","486.00","4.54K","0.08%"
"Sep 10","571.25","503.75","560.00","503.35","0.57K","14.16%"
"Oct 10","651.30","565.40","653.60","498.30","-","14.01%"
"Nov 10","700.95","657.15","704.25","657.15","8.67K","7.62%"
"Dec 10","803.30","746.10","788.10","730.00","0.36K","14.60%"
"Jan 11","819.00","748.10","748.10","748.10","0.00K","1.95%"
"Feb 11","797.65","775.00","791.75","774.30","10.90K","-2.61%"
"Mar 11","767.90","798.00","821.90","696.00","0.66K","-3.73%"
"Apr 11","791.95","754.05","764.40","750.00","0.00K","3.13%"
"May 11","778.95","753.50","782.25","751.55","8.60K","-1.64%"
"Jun 11","759.40","772.00","818.05","720.05","0.77K","-2.51%"
"Jul 11","826.70","771.90","783.00","771.90","0.00K","8.86%"
"Aug 11","788.10","732.00","794.45","732.00","5.07K","-4.67%"
"Sep 11","614.05","783.35","788.20","614.50","0.41K","-22.08%"
"Oct 11","651.05","539.40","626.00","536.65","0.01K","6.03%"
"Nov 11","610.00","662.60","662.60","565.60","6.22K","-6.31%"
"Dec 11","655.60","616.05","680.60","605.75","0.40K","7.48%"
"Jan 12","685.20","656.30","702.00","608.00","-","4.51%"
"Feb 12","706.65","711.20","721.95","700.00","7.73K","3.13%"
