"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 09","1,460.15","1,330.40","1,487.65","1,322.10","-","9.77%"
"Dec 09","1,475.10","1,460.50","1,513.80","1,387.60","-","1.02%"
"Jan 10","1,502.00","1,474.90","1,653.70","1,471.50","-","1.82%"
"Feb 10","1,544.95","1,505.00","1,593.95","1,451.40","-","2.86%"
"Mar 10","1,649.85","1,545.80","1,655.30","1,541.80","-","6.79%"
"Apr 10","1,743.30","1,648.60","1,759.35","1,646.00","-","5.66%"
"May 10","1,564.80","1,733.00","1,753.25","1,446.00","-","-10.24%"
"Jun 10","1,535.60","1,564.70","1,618.10","1,492.35","-","-1.87%"
"Jul 10","1,575.55","1,535.55","1,578.60","1,468.05","-","2.60%"
"Aug 10","1,524.95","1,575.55","1,607.25","1,491.20","-","-3.21%"
"Sep 10","1,660.65","1,525.20","1,668.20","1,518.35","-","8.90%"
"Oct 10","1,713.95","1,660.70","1,729.80","1,648.15","-","3.21%"
"Nov 10","1,659.70","1,713.90","1,811.75","1,628.30","-","-3.17%"
"Dec 10","1,774.80","1,659.50","1,780.95","1,658.35","-","6.93%"
"Jan 11","1,796.15","1,779.60","1,851.20","1,710.75","-","1.20%"
"Feb 11","1,811.85","1,795.55","1,869.15","1,770.85","-","0.87%"
"Mar 11","1,775.45","1,812.05","1,865.20","1,659.55","-","-2.01%"
"Apr 11","1,875.05","1,773.30","1,881.90","1,756.00","-","5.61%"
"May 11","1,827.25","1,882.00","1,890.15","1,742.70","-","-2.55%"
"Jun 11","1,723.55","1,828.65","1,849.50","1,668.85","-","-5.68%"
"Jul 11","1,785.15","1,723.95","1,822.85","1,702.90","-","3.57%"
"Aug 11","1,849.75","1,784.75","1,918.35","1,682.25","-","3.62%"
"Sep 11","1,527.60","1,849.95","1,899.90","1,474.55","-","-17.42%"
"Oct 11","1,600.95","1,530.05","1,662.10","1,435.10","-","4.80%"
"Nov 11","1,564.40","1,601.30","1,676.60","1,513.25","-","-2.28%"
"Dec 11","1,403.25","1,564.65","1,574.80","1,348.05","-","-10.30%"
"Jan 12","1,593.75","1,403.25","1,632.80","1,393.30","-","13.58%"
"Feb 12","1,678.35","1,594.05","1,738.85","1,589.60","-","5.31%"
"Mar 12","1,643.15","1,677.55","1,714.75","1,604.15","-","-2.10%"
"Apr 12","1,573.80","1,645.20","1,670.80","1,543.15","-","-4.22%"
"May 12","1,406.75","1,574.55","1,578.75","1,387.20","-","-10.61%"
"Jun 12","1,449.35","1,485.40","1,487.30","1,385.40","-","3.03%"
"Jul 12","1,410.50","1,449.35","1,493.50","1,380.50","-","-2.68%"
"Aug 12","1,540.15","1,410.15","1,563.30","1,383.70","-","9.19%"
"Sep 12","1,656.45","1,539.75","1,716.30","1,538.00","-","7.55%"
"Oct 12","1,570.30","1,656.65","1,734.45","1,531.15","-","-5.20%"
"Nov 12","1,603.80","1,571.25","1,625.70","1,534.85","-","2.13%"
"Dec 12","1,543.00","1,603.80","1,647.25","1,519.15","-","-3.79%"
"Jan 13","1,677.10","1,543.10","1,706.45","1,539.40","-","8.69%"
"Feb 13","1,585.25","1,677.15","1,742.90","1,581.10","-","-5.48%"
"Mar 13","1,575.35","1,585.15","1,614.70","1,550.15","-","-0.62%"
"Apr 13","1,506.60","1,575.10","1,603.75","1,375.55","-","-4.36%"
"May 13","1,456.75","1,506.65","1,518.95","1,430.60","-","-3.31%"
"Jun 13","1,347.00","1,457.20","1,539.15","1,296.10","-","-7.53%"
"Jul 13","1,442.95","1,349.20","1,464.30","1,311.20","-","7.12%"
"Aug 13","1,523.45","1,443.00","1,555.95","1,416.15","-","5.58%"
"Sep 13","1,405.05","1,524.85","1,540.60","1,401.20","-","-7.77%"
"Oct 13","1,452.00","1,405.10","1,481.35","1,361.50","-","3.34%"
"Nov 13","1,362.80","1,452.10","1,473.35","1,351.10","-","-6.14%"
"Dec 13","1,371.00","1,365.75","1,399.10","1,311.75","-","0.60%"
"Jan 14","1,377.90","1,371.00","1,472.65","1,364.45","-","0.50%"
