Date,Price,Open,High,Low,Vol.,Change %
Dec-78,6.06,6.02,6.08,5.8,-,1.00%
Jan-79,6.7,6.073,6.765,5.923,-,10.56%
Feb-79,7.712,6.66,7.96,6.625,-,15.10%
Mar-79,7.451,7.615,7.82,7.07,-,-3.38%
Apr-79,7.985,7.485,7.985,7.282,-,7.17%
May-79,8.7,8.025,8.91,7.905,-,8.95%
Jun-79,8.653,8.655,8.815,8.305,-,-0.54%
Jul-79,8.97,8.702,9.645,8.535,-,3.66%
Aug-79,10.615,9.035,10.7,8.7,-,18.34%
Sep-79,17.529,10.915,17.85,10.89,-,65.13%
Oct-79,16.35,17.13,18.5,15.1,-,-6.73%
Nov-79,18.82,16.37,19.4,15.7,1.64K,15.11%
Dec-79,34.45,19.61,35,18.65,-,83.05%
Jan-80,34.6,39.5,50.35,30.25,33.11K,0.44%
Feb-80,35.3,34.4,39.8,27.8,9.42K,2.02%
Mar-80,14.2,34.85,37.25,10.8,62.62K,-59.77%
Apr-80,12.5,15.675,17.5,12.5,20.87K,-11.97%
May-80,13.95,11.45,13.95,10.8,8.46K,11.60%
Jun-80,16.605,14.85,17.9,14.25,12.37K,19.03%
Jul-80,15.405,16.975,17.49,15.05,5.00K,-7.23%
Aug-80,16.3,15.82,16.45,15.47,3.15K,5.81%
Sep-80,20.72,16.38,25,16.23,23.46K,27.12%
Oct-80,18.9,21.675,21.99,18.3,12.72K,-8.78%
Nov-80,18.59,19.44,20.1,17.32,15.22K,-1.64%
Dec-80,15.69,19.01,19.02,13.37,19.64K,-15.60%
Jan-81,13.25,15.15,16.53,12.65,6.13K,-15.55%
Feb-81,12.175,12.93,14.12,12.12,7.37K,-8.11%
Mar-81,11.895,11.59,13.5,11.28,8.94K,-2.30%
Apr-81,11.09,12.085,12.35,10.8,7.47K,-6.77%
May-81,10.73,11.165,11.5,10.25,3.23K,-3.25%
Jun-81,8.555,10.755,10.87,8.4,9.28K,-20.27%
Jul-81,8.52,8.585,9.16,8.19,4.13K,-0.41%
Aug-81,9.295,8.265,9.64,8.25,5.30K,9.10%
Sep-81,9.14,9.09,11.35,8.25,15.08K,-1.67%
Oct-81,9.15,9.35,9.71,8.94,1.54K,0.11%
Nov-81,8.205,9.225,9.26,7.97,9.56K,-10.33%
Dec-81,8.125,8.03,9.05,7.97,38.53K,-0.98%
