"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 79","88.86","86.52","88.86","86.52","-","2.73%"
"Feb 79","88.18","89.24","89.25","87.35","-","-0.77%"
"Mar 79","88.53","88.28","88.59","88.09","-","0.40%"
"Apr 79","89.98","88.98","89.98","88.98","-","1.64%"
"May 79","90.53","90.11","91.02","89.55","-","0.61%"
"Jun 79","87.85","90.82","90.82","87.71","-","-2.96%"
"Jul 79","87.31","87.89","87.89","86.02","-","-0.61%"
"Aug 79","87.19","86.97","87.46","86.91","-","-0.14%"
"Sep 79","85.45","87.26","87.47","85.45","-","-2.00%"
"Oct 79","88.95","85.43","89.12","85.43","-","4.10%"
"Nov 79","86.79","88.79","89.02","86.79","-","-2.43%"
"Dec 79","85.82","85.98","87.05","85.51","-","-1.12%"
"Jan 80","86.14","85.32","86.14","84.79","-","0.37%"
"Feb 80","87.65","86.13","87.65","85.62","-","1.75%"
"Mar 80","93.58","87.85","93.58","87.85","-","6.77%"
"Apr 80","88.11","94.22","94.88","88.01","-","-5.85%"
"May 80","85.93","88.22","88.90","85.15","-","-2.47%"
"Jun 80","85.20","86.09","86.09","84.75","-","-0.85%"
"Jul 80","86.08","85.10","86.08","84.12","-","1.03%"
"Aug 80","85.85","86.49","86.86","85.45","-","-0.27%"
"Sep 80","86.02","85.19","86.29","85.08","-","0.20%"
"Oct 80","88.38","85.75","88.38","85.43","-","2.74%"
"Nov 80","90.01","88.64","90.12","88.43","-","1.84%"
"Dec 80","90.39","90.55","92.66","89.86","-","0.42%"
"Jan 81","95.24","90.51","95.24","88.95","-","5.37%"
"Feb 81","97.06","94.82","98.18","94.59","-","1.91%"
"Mar 81","96.76","97.95","97.95","94.24","-","-0.31%"
"Apr 81","100.45","96.28","100.45","96.28","-","3.81%"
"May 81","104.95","100.28","105.36","100.28","-","4.48%"
"Jun 81","107.71","104.99","108.47","104.99","-","2.63%"
"Jul 81","111.72","108.52","111.72","108.52","-","3.72%"
"Aug 81","110.28","114.03","114.88","110.01","-","-1.29%"
"Sep 81","107.73","110.76","110.76","103.84","-","-2.31%"
"Oct 81","106.13","107.57","108.65","103.86","-","-1.49%"
"Nov 81","103.18","104.99","105.35","103.18","-","-2.78%"
"Dec 81","104.69","103.65","106.46","103.37","-","1.46%"
"Jan 82","108.03","104.62","108.78","104.62","-","3.19%"
"Feb 82","111.93","109.32","111.93","109.14","-","3.61%"
"Mar 82","114.73","111.96","114.73","110.28","-","2.50%"
"Apr 82","111.60","114.16","115.36","111.60","-","-2.73%"
"May 82","112.79","111.51","112.79","109.70","-","1.07%"
